Rk,Team Code,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
8,TEX,RF,Adolis Garci≠a,30,148,632,555,108,136,29,0,39,107,9,1,65,175,0.245,0.328,0.508,0.836,123,282,12,6,0,6,0
9,TEX,DH,Mitch Garver,32,87,344,296,45,80,11,0,19,50,0,0,44,82,0.27,0.37,0.5,0.87,134,148,6,3,0,0,1
10,TEX,UT,Ezequiel Duran,24,122,439,406,55,112,22,2,14,46,8,4,23,120,0.276,0.324,0.443,0.768,106,180,7,7,1,2,1
11,TEX,OF,Robbie Grossman#,33,115,420,353,56,84,23,1,10,49,1,0,57,98,0.238,0.34,0.394,0.734,100,139,8,2,0,8,0
12,TEX,UT,Josh H. Smith*,25,90,232,195,29,36,8,1,6,15,1,0,25,55,0.185,0.304,0.328,0.633,73,64,3,9,2,1,0
13,TEX,LF,Evan Carter*,20,23,75,62,15,19,4,1,5,12,3,0,12,24,0.306,0.413,0.645,1.058,182,40,1,0,0,1,1
14,TEX,DH,Brad Miller*,33,27,67,56,8,12,4,0,1,6,0,0,10,11,0.214,0.328,0.339,0.668,83,19,1,0,0,1,0
15,TEX,LF,Bubba Thompson,25,37,60,53,10,9,4,1,0,4,4,2,4,16,0.17,0.237,0.283,0.52,41,15,0,1,1,1,0
16,TEX,UT,Sam Huff,25,21,45,43,5,11,2,0,3,6,0,0,2,17,0.256,0.289,0.512,0.801,112,22,1,0,0,0,0
17,TEX,OF,J.P. Mart√≠nez*,27,17,44,40,7,9,1,0,1,4,0,0,2,16,0.225,0.25,0.325,0.575,55,13,0,0,0,2,0
18,TEX,C,Sandy Le√≥n#,34,21,44,41,4,6,2,0,0,4,0,0,1,20,0.146,0.186,0.195,0.381,4,8,2,1,1,0,0
19,TEX,C,Austin Hedges,30,16,25,24,1,5,0,0,0,2,0,0,0,8,0.208,0.208,0.208,0.417,14,5,0,0,1,0,0
20,TEX,IF,Jonathan Ornelas,23,8,8,7,2,1,0,0,0,0,0,0,0,4,0.143,0.25,0.143,0.393,12,1,0,1,0,0,0
1,TOR,C,Alejandro Kirk,24,123,422,372,34,93,16,0,8,43,0,0,42,45,0.25,0.334,0.358,0.692,93,133,21,6,0,2,1
2,TOR,1B,Vladimir Guerrero Jr.,24,156,682,602,78,159,30,0,26,94,5,3,67,100,0.264,0.345,0.444,0.788,117,267,23,9,0,4,5
3,TOR,2B,Whit Merrifield,34,145,592,547,66,149,27,0,11,67,26,10,36,101,0.272,0.318,0.382,0.7,94,209,15,3,0,6,2
4,TOR,SS,Bo Bichette,25,135,601,571,69,175,30,3,20,73,5,3,27,115,0.306,0.339,0.475,0.814,123,271,14,2,0,1,0
5,TOR,3B,Matt Chapman,30,140,581,509,66,122,39,2,17,54,4,2,62,165,0.24,0.33,0.424,0.755,108,216,4,8,0,2,1
6,TOR,LF,Daulton Varsho*,26,158,581,527,65,116,23,3,20,61,16,7,45,135,0.22,0.285,0.389,0.674,85,205,5,4,1,3,0
7,TOR,CF,Kevin Kiermaier*,33,129,408,370,58,98,21,6,8,36,14,1,29,86,0.265,0.322,0.419,0.741,104,155,9,4,1,4,0
8,TOR,RF,George Springer,33,154,683,613,87,158,25,1,21,72,20,5,60,125,0.258,0.327,0.405,0.732,102,248,20,5,0,3,1
9,TOR,DH,Brandon Belt*,35,103,404,339,53,86,23,0,19,43,0,0,61,141,0.254,0.369,0.49,0.858,136,166,5,2,0,2,1
10,TOR,UT,Cavan Biggio*,28,111,338,289,54,68,12,0,9,40,5,2,40,88,0.235,0.34,0.37,0.71,98,107,0,7,0,2,0
11,TOR,C,Danny Jansen,28,86,301,268,38,61,15,0,17,53,0,0,23,62,0.228,0.312,0.474,0.786,115,127,3,10,0,0,1
12,TOR,IF,Santiago Espinal,28,93,254,230,30,57,14,0,2,25,2,1,18,36,0.248,0.31,0.335,0.644,80,77,5,3,2,1,1
13,TOR,2B,Davis Schneider,24,35,141,116,23,32,12,1,8,20,1,0,21,43,0.276,0.404,0.603,1.008,175,70,2,4,0,0,0
14,TOR,MI,Ernie Clement,27,29,52,50,7,19,1,1,1,10,1,0,1,4,0.38,0.385,0.5,0.885,144,25,0,0,0,1,0
15,TOR,SS,Paul DeJong,29,13,44,44,1,3,0,0,0,1,0,0,0,18,0.068,0.068,0.068,0.136,-62,3,1,0,0,0,0
16,TOR,DH,Spencer Horwitz*,25,15,44,39,5,10,2,0,1,7,0,0,4,12,0.256,0.341,0.385,0.726,102,15,1,1,0,0,0
17,TOR,C,Tyler Heineman#,32,19,37,29,4,8,1,1,0,3,0,0,7,7,0.276,0.432,0.379,0.812,129,11,0,1,0,0,0
18,TOR,OF,Nathan Lukes*,28,29,31,26,4,5,1,1,0,2,0,0,4,9,0.192,0.29,0.308,0.598,67,8,1,0,0,1,0
19,TOR,RF,Jordan Luplow,29,7,17,14,1,3,0,0,0,1,0,0,3,8,0.214,0.353,0.214,0.567,64,3,0,0,0,0,1
20,TOR,DH,Cam Eden,25,5,6,6,1,1,0,0,0,0,0,0,0,2,0.167,0.167,0.167,0.333,-7,1,0,0,0,0,0
21,TOR,SS,Mason McCoy,28,6,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,0,0,0,0,0
1,MIN,C,Christian V√°zquez,32,102,355,327,34,73,13,0,6,32,1,0,25,82,0.223,0.28,0.318,0.598,65,104,11,1,1,1,1
2,MIN,1B,Donovan Solano,35,134,450,394,43,111,26,1,5,38,0,0,40,100,0.282,0.369,0.391,0.76,110,154,8,15,0,1,1
3,MIN,2B,Edouard Julien*,24,109,408,338,60,89,16,1,16,37,3,0,64,128,0.263,0.381,0.459,0.839,130,155,8,2,1,3,0
4,MIN,SS,Carlos Correa,28,135,580,514,60,118,29,2,18,65,0,0,59,131,0.23,0.312,0.399,0.711,94,205,30,4,0,3,3
5,MIN,3B,Royce Lewis,24,58,239,217,36,67,7,0,15,52,6,1,20,55,0.309,0.372,0.548,0.921,150,119,5,2,0,0,0
6,MIN,LF,Joey Gallo*,29,111,332,282,39,50,9,1,21,40,1,1,48,142,0.177,0.301,0.44,0.741,101,124,3,2,0,0,1
7,MIN,CF,Michael A. Taylor,32,129,388,355,48,78,14,1,21,51,13,1,26,130,0.22,0.278,0.442,0.72,94,157,7,3,3,1,0
8,MIN,RF,Max Kepler*,30,130,491,438,72,114,22,2,24,66,1,1,45,106,0.26,0.332,0.484,0.816,121,212,9,4,0,4,0
9,MIN,DH,Byron Buxton,29,85,347,304,49,63,17,1,17,42,9,0,35,109,0.207,0.294,0.438,0.731,98,133,3,4,0,4,2
10,MIN,UT,Willi Castro#,26,124,409,358,60,92,18,5,9,34,33,5,34,99,0.257,0.339,0.411,0.75,106,147,5,12,2,3,1
11,MIN,IF,Kyle Farmer,32,120,369,336,49,85,14,2,11,46,2,4,23,86,0.253,0.314,0.405,0.719,97,136,7,8,0,2,0
12,MIN,2B,Jorge Polanco#,29,80,343,302,38,77,18,0,14,48,4,0,36,88,0.255,0.335,0.454,0.789,115,137,2,2,0,3,0
13,MIN,C,Ryan Jeffers,26,96,335,286,46,79,15,2,14,43,3,2,33,93,0.276,0.369,0.49,0.858,134,140,6,10,4,2,1
14,MIN,1B,Alex Kirilloff*,25,88,319,281,35,76,14,1,11,41,1,0,28,80,0.27,0.348,0.445,0.793,117,125,2,7,0,3,1
15,MIN,OF,Matt Wallner*,25,76,254,213,42,53,11,1,14,41,2,1,28,80,0.249,0.37,0.507,0.877,139,108,1,13,0,0,1
16,MIN,LF,Trevor Larnach*,26,58,212,183,26,39,7,3,8,40,1,1,27,72,0.213,0.311,0.415,0.727,98,76,2,0,0,2,1
17,MIN,3B,Jose Miranda,25,40,152,142,12,30,4,0,3,13,0,0,9,24,0.211,0.263,0.303,0.566,56,43,8,1,0,0,0
18,MIN,UT,Nick Gordon*,27,34,93,91,13,16,5,1,2,7,0,0,1,11,0.176,0.185,0.319,0.503,35,29,1,0,1,0,0
19,MIN,UT,Jordan Luplow,29,32,73,63,10,13,3,0,2,4,2,0,9,19,0.206,0.315,0.349,0.664,83,22,1,1,0,0,0
20,MIN,OF,Andrew Stevenson*,29,25,40,37,4,7,1,0,0,1,4,1,2,8,0.189,0.25,0.216,0.466,31,8,0,1,0,0,0
21,MIN,OF,Kyle Garlick,31,14,30,28,2,5,1,0,2,4,0,0,2,11,0.179,0.233,0.429,0.662,77,12,0,0,0,0,0
1,PHI,C,J.T. Realmuto,32,135,540,489,70,123,28,5,20,63,16,5,35,138,0.252,0.31,0.452,0.762,106,221,10,9,0,5,3
2,PHI,1B,Kody Clemens*,27,47,148,139,15,32,7,0,4,13,0,0,8,40,0.23,0.277,0.367,0.644,75,51,1,1,0,0,0
3,PHI,2B,Bryson Stott*,25,151,640,585,78,164,32,2,15,62,31,3,39,100,0.28,0.329,0.419,0.747,104,245,10,7,1,8,1
4,PHI,SS,Trea Turner,30,155,691,639,102,170,35,5,26,76,30,0,45,150,0.266,0.32,0.459,0.778,111,293,12,6,0,1,2
5,PHI,3B,Alec Bohm,26,145,611,558,74,153,31,0,20,97,4,1,42,94,0.274,0.327,0.437,0.765,108,244,23,5,0,6,1
6,PHI,LF,Kyle Schwarber*,30,160,720,585,108,115,19,1,47,104,0,2,126,215,0.197,0.343,0.474,0.817,122,277,4,6,0,3,5
7,PHI,CF,Brandon Marsh*,25,133,472,404,58,112,25,6,12,60,10,2,59,144,0.277,0.372,0.458,0.829,127,185,4,4,1,4,2
8,PHI,RF,Nick Castellanos,31,157,671,626,79,170,37,2,29,106,11,2,36,185,0.272,0.311,0.476,0.788,112,298,17,3,0,6,0
9,PHI,DH,Bryce Harper*,30,126,546,457,84,134,29,1,21,72,11,3,80,119,0.293,0.401,0.499,0.9,146,228,10,5,0,4,8
10,PHI,3B,Edmundo Sosa,27,104,300,279,34,70,15,2,10,30,4,2,8,74,0.251,0.293,0.427,0.719,95,119,10,9,2,1,0
11,PHI,LF,Jake Cave*,30,65,203,184,18,39,8,1,5,21,3,0,15,55,0.212,0.272,0.348,0.62,69,64,3,1,1,2,0
12,PHI,CF,Johan Rojas,22,59,164,149,24,45,9,2,2,23,14,1,5,42,0.302,0.342,0.43,0.771,111,64,1,4,6,0,0
13,PHI,C,Garrett Stubbs*,30,41,125,113,15,23,4,1,1,12,2,0,9,29,0.204,0.274,0.283,0.557,54,32,0,2,1,0,0
14,PHI,UT,Josh Harrison,35,40,114,103,8,21,3,0,2,10,0,0,3,20,0.204,0.263,0.291,0.554,53,30,2,6,0,2,0
15,PHI,OF,Cristian Pache,24,48,95,84,12,20,7,1,2,11,2,3,10,27,0.238,0.319,0.417,0.736,100,35,1,0,1,0,0
16,PHI,1B,Darick Hall*,27,18,56,54,2,9,1,0,1,3,0,0,2,18,0.167,0.196,0.241,0.437,20,13,2,0,0,0,0
17,PHI,IF,Rodolfo Castro#,24,14,32,30,2,3,0,0,0,2,0,0,2,12,0.1,0.156,0.1,0.256,-27,3,0,0,0,0,0
18,PHI,CI,Drew Ellis,27,12,29,23,4,5,0,0,2,4,0,1,6,7,0.217,0.379,0.478,0.858,134,11,0,0,0,0,0
19,PHI,OF,Dalton Guthrie,27,23,28,24,4,4,1,0,0,0,0,0,3,7,0.167,0.286,0.208,0.494,40,5,0,1,0,0,0
20,PHI,UT,Weston Wilson,28,8,22,16,5,5,0,0,1,2,3,1,6,5,0.313,0.5,0.5,1,177,8,0,0,0,0,0
